,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
64,65,64,Yale,Ivy League,19-9,8-8,3-0,8-1,0-1,2-5,9-1,8-2
65,66,71,UCF,AAC,19-15,5-7,3-2,11-6,3-8,3-3,3-4,10-0
66,67,60,Clemson,ACC,23-11,5-6,3-3,15-2,5-5,3-1,6-2,9-3
67,68,59,Kent St.,MAC,26-7,9-6,4-1,13-0,0-4,2-1,10-1,14-1
68,69,65,Sam Houston,WAC,22-8,11-6,3-1,8-1,1-4,2-1,10-2,9-1
69,70,68,Oklahoma,Big 12,15-17,2-8,4-2,9-7,6-14,3-3,3-0,3-0
70,71,75,Villanova,Big East,17-17,5-9,2-4,10-4,3-12,3-3,7-2,4-0
71,72,80,Wisconsin,Big Ten,20-15,6-6,3-3,11-6,5-9,8-5,2-1,5-0
72,73,62,Florida,SEC,16-17,4-7,2-4,10-6,2-12,1-4,8-1,5-0
73,74,77,Seton Hall,Big East,16-16,6-7,1-3,9-6,4-9,2-5,5-1,5-1
74,75,76,Virginia Tech,ACC,19-15,2-10,4-1,13-4,4-8,2-4,5-2,8-1
75,76,69,Colorado,Pac-12,18-17,2-9,3-3,13-5,3-7,4-5,7-3,4-2
76,77,78,Dayton,Atlantic 10,22-12,5-6,3-4,14-2,1-2,1-6,9-3,11-1
77,78,72,Bradley,MVC,24-10,8-6,2-3,14-1,0-6,4-2,6-2,14-0
78,79,73,Washington St.,Pac-12,17-17,5-8,2-5,10-4,1-10,6-4,3-2,7-1
79,80,79,Utah,Pac-12,17-15,4-7,1-3,12-5,1-7,2-7,5-1,9-0
80,81,81,Vanderbilt,SEC,22-15,5-6,3-3,14-6,5-11,7-1,5-2,5-1
81,82,82,Toledo,MAC,26-8,10-4,4-3,12-1,1-2,2-2,8-3,15-1
82,83,83,Marshall,Sun Belt,23-8,9-5,0-1,14-2,0-0,1-2,9-5,13-1
83,84,85,BYU,WCC,17-15,2-7,4-4,11-4,1-6,1-5,8-3,7-1
84,85,86,Hofstra,CAA,24-10,11-5,3-3,10-2,2-2,3-2,5-4,14-2
85,86,89,Louisiana,Sun Belt,23-8,7-7,5-1,11-0,0-3,1-3,10-1,12-1
86,87,84,Santa Clara,WCC,22-10,6-3,3-2,13-5,0-5,4-2,11-2,7-1
87,88,88,Furman,SoCon,25-8,8-3,6-3,11-2,1-3,2-0,8-3,14-2
88,89,90,Wake Forest,ACC,19-14,4-8,2-3,13-3,2-9,4-2,4-2,9-1
89,90,87,Southern Miss.,Sun Belt,22-8,8-7,2-1,12-0,1-1,2-4,5-3,14-0
90,91,98,St. John's (NY),Big East,18-15,3-8,3-0,12-7,1-12,1-3,8-0,8-0
91,92,92,Nebraska,Big Ten,16-16,4-9,1-3,11-4,3-10,5-5,1-0,7-1
92,93,111,Princeton,Ivy League,21-9,7-4,4-2,10-3,2-2,2-2,8-3,9-2
93,94,91,UNLV,Mountain West,18-13,5-5,4-0,9-8,2-5,3-3,8-5,5-0
94,95,94,James Madison,Sun Belt,19-11,8-6,2-2,9-3,0-2,2-2,9-3,8-4
