,Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
278,279,282,Marist,MAAC,13-20,4-9,4-1,5-10,0-1,0-2,1-5,12-12
279,280,280,Tennessee St.,OVC,14-14,4-8,1-2,9-4,0-0,0-2,1-2,13-10
280,281,278,Prairie View,SWAC,11-19,4-14,0-2,7-3,0-4,0-0,1-3,10-12
281,282,277,UC San Diego,Big West,8-20,6-9,0-1,2-10,0-2,1-2,2-12,5-4
282,283,281,Illinois St.,MVC,11-21,3-9,0-5,8-7,0-1,0-4,4-7,7-9
283,284,288,UTSA,C-USA,8-22,2-11,0-1,6-10,0-6,0-4,4-5,4-7
284,285,283,Arkansas St.,Sun Belt,10-20,2-11,1-1,7-8,0-0,0-4,1-12,9-4
285,286,284,Bowling Green,MAC,9-20,4-11,0-0,5-9,0-1,0-3,2-9,7-7
286,287,286,Miami (OH),MAC,9-20,3-9,0-2,6-9,0-2,0-5,1-6,8-7
287,288,285,UIC,MVC,11-20,3-11,2-1,6-8,0-2,0-6,0-8,11-4
288,289,287,Denver,Summit League,13-17,4-11,2-1,7-5,0-2,0-1,0-5,13-9
289,290,290,High Point,Big South,12-17,2-11,2-1,8-5,0-0,1-1,0-8,11-8
290,291,291,Georgia St.,Sun Belt,7-21,0-11,0-1,7-9,0-1,0-3,2-11,5-6
291,292,295,Bucknell,Patriot,11-20,3-13,2-0,6-7,0-1,0-1,0-5,11-13
292,293,292,Morgan St.,MEAC,11-16,3-12,2-2,6-2,0-3,1-2,1-4,9-7
293,294,289,Valparaiso,MVC,10-21,2-12,1-2,7-7,0-1,1-7,0-8,9-5
294,295,293,Coastal Carolina,Sun Belt,8-20,3-11,0-1,5-8,0-1,0-4,3-7,5-8
295,296,296,ULM,Sun Belt,8-21,4-10,0-3,4-8,0-2,1-7,2-6,5-6
296,297,300,Binghamton,America East,11-18,5-11,0-0,6-7,0-1,0-5,2-5,9-7
297,298,297,CSU Bakersfield,Big West,9-22,3-12,2-2,4-8,0-0,0-6,2-11,7-5
298,299,302,Manhattan,MAAC,11-18,6-7,1-2,4-9,0-3,0-1,2-1,9-13
299,300,298,South Dakota,Summit League,10-19,2-11,2-2,6-6,0-3,1-2,2-4,7-10
300,301,307,Merrimack,NEC,16-16,8-8,0-2,8-6,0-1,0-4,0-4,16-7
301,302,299,Chicago St.,DI Independent,7-20,3-20,0-0,4-0,0-4,0-4,0-7,7-5
302,303,311,Wagner,NEC,13-13,7-9,0-0,6-4,0-1,1-1,0-1,12-10
303,304,304,Charleston So.,Big South,8-21,3-12,1-1,4-8,0-2,0-1,1-9,7-9
304,305,306,Saint Peter's,MAAC,13-18,4-11,2-1,7-6,0-3,0-1,0-4,13-10
305,306,303,Tex. A&M-Commerce,Southland,12-20,7-13,1-2,4-5,0-1,1-0,3-7,8-12
306,307,294,Texas Southern,SWAC,12-21,3-13,4-2,5-6,0-4,1-4,1-1,10-12
307,308,305,Jackson St.,SWAC,14-19,6-14,1-3,7-2,0-4,0-3,1-4,13-8
308,309,312,Northeastern,CAA,10-20,3-12,1-2,6-6,0-2,0-5,1-6,9-7
309,310,314,Stonehill,NEC,13-17,6-12,1-1,6-4,0-2,0-3,0-1,13-11
310,311,308,Cal Poly,Big West,6-25,1-13,1-1,4-11,0-0,0-8,2-10,4-7
311,312,310,Idaho,Big Sky,8-22,4-11,0-1,4-10,0-0,0-2,4-7,4-13
312,313,309,Kansas City,Summit League,10-20,3-11,2-2,5-7,0-4,2-1,1-4,7-11
313,314,315,Louisville,ACC,4-28,0-11,0-4,4-13,0-10,1-6,0-8,3-4
314,315,313,California,Pac-12,3-29,0-12,0-3,3-14,0-7,0-11,2-7,1-4
315,316,316,William & Mary,CAA,11-20,1-14,1-1,9-5,0-4,0-2,3-6,8-8
316,317,317,Omaha,Summit League,8-23,1-15,3-1,4-7,0-6,0-3,0-5,8-9
317,318,318,N.C. A&T,CAA,10-19,4-10,1-4,5-5,0-3,1-2,1-8,8-6
318,319,321,Loyola Maryland,Patriot,11-20,3-13,1-1,7-6,0-2,0-2,0-3,11-13
319,320,319,Alabama A&M,SWAC,12-18,5-8,1-2,6-8,0-2,0-1,1-4,11-11
320,321,320,Eastern Mich.,MAC,7-23,2-13,0-3,5-7,0-2,0-5,3-5,4-11
321,322,326,Sacred Heart,NEC,15-17,7-11,0-0,8-6,0-2,0-1,0-2,15-12
322,323,322,Little Rock,OVC,8-21,2-16,0-0,6-5,0-2,0-2,1-1,7-16
323,324,324,Tulsa,AAC,5-25,0-12,1-3,4-10,0-6,0-7,1-8,4-4
324,325,325,Austin Peay,ASUN,6-22,1-13,1-1,4-8,0-3,0-2,1-8,5-9
325,326,323,Western Mich.,MAC,5-23,1-15,0-1,4-7,0-3,0-5,1-4,4-11
326,327,327,Stony Brook,CAA,9-22,3-13,1-2,5-7,0-3,0-3,0-9,9-7
327,328,328,Coppin St.,MEAC,9-23,5-16,0-1,4-6,0-3,0-3,2-10,7-7
328,329,330,Central Ark.,ASUN,8-22,2-13,1-1,5-8,0-4,0-2,2-5,6-11
329,330,331,The Citadel,SoCon,9-22,4-11,1-2,4-9,0-2,0-5,2-6,7-9
330,331,329,Central Mich.,MAC,8-21,3-12,1-1,4-8,1-2,0-2,0-9,7-8
331,332,336,Saint Francis (PA),NEC,11-18,3-13,0-0,8-5,0-2,0-2,0-2,11-12
332,333,332,Ark.-Pine Bluff,SWAC,6-21,2-16,0-0,4-5,0-5,0-1,0-3,6-12
333,334,334,NJIT,America East,6-23,2-15,0-0,4-8,0-1,0-3,0-7,6-12
334,335,333,CSUN,Big West,5-25,0-14,0-3,5-8,0-1,0-4,2-10,3-10
335,336,337,Holy Cross,Patriot,8-22,4-11,0-2,4-9,0-1,0-2,1-2,7-17
336,337,335,Elon,CAA,6-24,3-12,0-3,3-9,0-3,0-1,0-8,6-12
337,338,338,Lindenwood,OVC,8-21,2-14,0-3,6-4,0-2,0-2,0-3,8-14
338,339,341,Columbia,Ivy League,5-22,1-13,0-0,4-9,0-3,1-2,0-8,4-9
339,340,339,McNeese,Southland,10-23,3-14,0-0,7-9,0-4,0-2,1-3,9-14
340,341,343,Central Conn. St.,NEC,10-22,4-14,0-1,6-7,0-1,0-2,0-3,10-16
341,342,340,New Orleans,Southland,10-20,4-10,2-1,4-9,0-2,0-1,1-4,9-13
342,343,342,UAlbany,America East,6-23,1-16,1-1,4-6,0-3,0-3,1-6,5-11
343,344,345,UIW,Southland,9-19,3-12,2-0,4-7,0-1,0-1,1-4,8-13
344,345,344,Eastern Ill.,OVC,7-22,3-12,0-1,4-9,1-2,0-1,1-2,5-17
345,346,346,Alabama St.,SWAC,7-23,2-18,1-0,4-5,0-4,0-2,0-4,7-13
346,347,347,South Carolina St.,MEAC,4-26,1-19,0-1,3-6,0-2,0-2,2-10,2-12
347,348,349,Hampton,CAA,7-24,1-13,0-5,6-6,0-1,0-6,0-7,7-10
348,349,348,Bethune-Cookman,SWAC,10-20,3-13,1-2,6-5,0-3,0-0,0-3,10-14
349,350,353,St. Francis Brooklyn,NEC,12-16,4-11,0-0,8-5,0-1,0-1,0-3,12-11
350,351,351,Monmouth,CAA,7-26,3-15,1-1,3-10,0-3,0-7,0-8,7-8
351,352,350,Evansville,MVC,5-27,1-14,1-3,3-10,0-1,0-7,0-10,5-9
352,353,352,Presbyterian,Big South,3-27,0-15,0-3,3-9,0-1,0-2,0-9,3-15
353,354,355,Delaware St.,MEAC,5-23,2-14,0-2,3-7,0-5,0-0,0-7,5-11
354,355,354,VMI,SoCon,4-25,1-14,0-3,3-8,0-0,0-4,0-11,4-10
355,356,356,Lamar University,Southland,6-22,2-12,1-1,3-9,0-1,0-1,0-4,6-16
356,357,357,Houston Christian,Southland,7-22,2-13,0-1,5-8,0-3,0-0,0-4,7-15
357,358,358,Mississippi Val.,SWAC,5-27,1-19,0-2,4-6,0-4,0-5,0-2,5-16
358,359,359,Florida A&M,SWAC,5-22,3-15,0-0,2-7,0-5,0-0,0-4,5-13
359,360,360,IUPUI,Horizon,3-27,0-15,1-3,2-9,0-2,0-1,0-8,3-16
360,361,361,Green Bay,Horizon,3-29,1-17,0-2,2-10,0-1,0-4,1-11,2-13
361,362,362,LIU,NEC,1-26,1-14,0-2,0-10,0-2,0-3,0-2,1-19
362,363,363,Hartford,DI Independent,2-23,0-11,0-2,2-10,0-0,0-2,0-5,2-16
